geneA	geneB	weight
H2BC5	H2AW	0.713
E2F1	H3C12	0.713
KIF20B	ECT2	0.713
PSMD11	PSME2	0.713
S100A3	S100A13	0.713
TMC6	TK1	0.713
CCL2	ACE2	0.712
CD63	CD37	0.712
CDH5	CAV1	0.712
CSF3R	CISH	0.712
ANXA1	AHNAK	0.712
GATA2	KLF1	0.712
FN1	ECM1	0.712
NFKBIA	PTPN13	0.712
PLK4	NDC80	0.712
SLC3A2	SLC38A2	0.712
S100A10	S100A13	0.712
ALB	CD47	0.711
JADE1	H3C12	0.711
EIF2S1	DNAJC2	0.711
HNRNPH1	EEF2	0.711
HAVCR2	KLRC1	0.711
ITGAM	FLT3LG	0.711
NIP7	PA2G4	0.711
MRTO4	PKM	0.711
PTPRC	MMP9	0.711
PBK	RFC4	0.711
SNRPD1	SSB	0.711
APP	CYCS	0.709
CDC25C	CLSPN	0.709
DDX21	BRIX1	0.709
CDKN1A	ACTB	0.709
IL22RA2	IL11	0.709
KIT	IL3RA	0.709
GYPB	HBB	0.709
PDCD11	PPAN	0.709
PARK7	PRDX6	0.709
TIMP2	TIMP4	0.709
CD68	CD44	0.708
CCNA1	AURKB	0.708
KIF5B	KIF11	0.708
HSP90AA1	KIT	0.708
GAPDH	LIN28A	0.708
PTGS1	PLAAT3	0.708
PLA2G2D	PTGS1	0.708
SNCA	SLC4A1	0.708
UBC	VDAC1	0.708
CENPA	CDC45	0.707
NME1	NDUFS3	0.707
DBF4	CCNA2	0.706
CD44	ANXA2	0.706
NEK8	NPHP1	0.706
PLD3	PLA2G12B	0.706
CENPU	CDCA5	0.705
ATP5PO	COX4I2	0.705
CLDN14	CLDN19	0.705
DLGAP5	KPNA2	0.705
FN1	ELANE	0.705
IL6R	LIFR	0.705
HLA-DRA	ITGB2	0.705
PLAAT3	MAPK1	0.705
MSN	NCF1	0.705
RPS24	UBB	0.705
UBE2T	TK1	0.705
CCL2	ATF3	0.704
CXCL8	CCR4	0.704
LAPTM5	GMFG	0.704
H1-5	H1-2	0.704
DKC1	EMG1	0.704
MMP9	NFKBIA	0.704
CGAS	OASL	0.704
MRTO4	PKLR	0.704
MMP9	MYC	0.704
CDH5	ANGPT2	0.703
ASPM	CDC45	0.703
ATF5	CEBPA	0.703
IL15	LIFR	0.703
HSP90AA1	HMGB1	0.703
GATA2	H3C12	0.703
PSMD4	PSME2	0.703
ARHGAP11A	CDCA8	0.702
CD44	CD47	0.702
JUNB	GADD45B	0.702
JUN	GADD45B	0.702
GMNN	FBXO43	0.702
GAPDH	HSPE1	0.702
PSME1	PSMC2	0.702
AURKA	CDC45	0.701
CXCR4	CD69	0.701
DBF4	CDC20	0.701
ANLN	CDC20	0.701
CCR4	CCL4	0.701
ANXA1	CD63	0.701
GATA2	H4C6	0.701
HSPA6	GRPEL1	0.701
KRT7	KRT19	0.701
RACGAP1	NDC80	0.701
MRPL21	PA2G4	0.701
TACC3	TROAP	0.701
UBE2L3	SNCA	0.701
